iter	Logloss
0	0.625415547
1	0.5778932442
2	0.5432451496
3	0.5184272198
4	0.5025333424
5	0.4856360883
6	0.4720911723
7	0.4621861158
8	0.4529255446
9	0.4461391154
10	0.4394999143
11	0.4339251702
12	0.4292545148
13	0.4252486807
14	0.422442207
15	0.4205070091
16	0.4183253299
17	0.4170064872
18	0.414254443
19	0.4125922509
20	0.4119922954
21	0.4104724575
22	0.4101948209
23	0.409006545
24	0.4077398091
25	0.4068748066
26	0.4055844348
27	0.4048704039
28	0.4041152067
29	0.4038127444
30	0.4031735893
31	0.4022555385
32	0.4020286935
33	0.4007567233
34	0.398663927
35	0.3979501389
36	0.3973896026
37	0.3970908377
38	0.3970819865
39	0.3969603331
40	0.3964924096
41	0.3963566572
42	0.3958042198
43	0.3950223563
44	0.3939129065
45	0.393249905
46	0.3927909182
47	0.3924752326
48	0.3921215436
49	0.3919014857
