iter	Passed	Remaining
0	5	253
1	9	239
2	14	229
3	18	217
4	23	212
5	28	205
6	32	197
7	37	195
8	41	188
9	45	183
10	48	171
11	52	167
12	57	162
13	60	154
14	64	149
15	66	140
16	69	135
17	71	127
18	75	123
19	79	119
20	81	113
21	86	109
22	87	102
23	92	99
24	95	95
25	99	91
26	103	88
27	107	84
28	111	80
29	112	75
30	117	71
31	121	68
32	123	63
33	126	59
34	130	55
35	134	52
36	138	48
37	142	44
38	144	40
39	147	36
40	151	33
41	154	29
42	157	25
43	161	21
44	165	18
45	168	14
46	172	11
47	175	7
48	179	3
49	183	0
